,Tweet_Text,Tweet_Date,Tweet_ID,Retweets,Favorites
0,Live now! Tune in to our panel discussion focused on low- and middle-income countries: Is housing the secret to economic recovery from COVID-19? https://t.co/IetgR8mtZ8 #WorldHabitatDay,2020-10-05 13:00:11,1313101679424831488,4,6
1,"#HabitatforHumanity volunteers often sign the wooden frame of the home they are working on, leaving kind words and encouragement. The result is a home that was built by many hands and with many blessings. https://t.co/tYQoNtEGiC",2020-10-04 16:14:02,1312788077493063680,13,40
2,"Is housing the secret to economic recovery from COVID-19? 
On Monday, a live panel of experts will discuss new evidence that the housing sector in low- and middle-income countries can stimulate emerging economies – even more so than official statistics indicate. Learn more.",2020-10-03 15:07:00,1312408818144276482,8,19
3,"October is #FinancialPlanningMonth, and our partnership with @usbank helps create #AffordableHousing solutions. Financial education is part of every future Habitat homeowner’s journey. What will you do to increase your own financial wellness this month? https://t.co/khLkPBVWUN",2020-10-02 15:14:02,1312048200770088960,5,19
4,"In India, nearly 15 million people live under the threat of eviction and displacement, with over 20,000 people evicted from their homes this year during the pandemic. Read the full story from @timesofindia. https://t.co/PfOja0JP3l",2020-10-01 20:47:34,1311769750423449600,2,8
5,"Happy birthday, President Carter! We are so grateful to you and Mrs. Carter for your continuing support of #HabitatforHumanity and how you have helped families build homes, communities and hope for over 35 years. https://t.co/WP90ZYM9Ve",2020-10-01 13:14:02,1311655614658027520,129,331
6,"Happening now! 
Our live discussion with Dr. Alice Bonner, @GIAging CEO John Feather, PhD, our CEO @JReckford and @topekahabitat's Janice Watkins about helping older Americans stay safe at home during COVID-19. Join us. https://t.co/fcmbIBkZQF",2020-09-30 19:31:29,1311388215648059393,2,7
7,"From @wsoctv: Continuing a tradition that goes back 29 years, an all-women crew from @habitatCLTreg recently began construction, helping a local woman build her dream home. Full story. https://t.co/VtOzxIXdrF",2020-09-30 17:41:23,1311360506696003584,6,22
8,"RT @STcom: In coronavirus-stricken Indonesia, many can't afford to self-quarantine at home https://t.co/HtFVOsWS8c",2020-09-30 14:22:55,1311310563507687425,5,0
9,"From @CNBC: “In a year when nothing is normal, owning a single-family home has become less affordable to average wage earners across the U.S., despite conditions that would seem to point the opposite way.” https://t.co/5whNaXy9YR",2020-09-29 18:14:00,1311006328672976897,7,15
10,"Habitat @AmeriCorps members make a lasting impact as they serve across the U.S., uniting and strengthening communities while gaining skills to be future leaders and housing advocates. Here are just a few extraordinary stories of service. #BestofAmerica 🏠 - with @HFHAmeriCorps",2020-09-29 14:10:25,1310945026495713280,7,26
11,"Throughout 15 years of partnership, @NissanUSA has supported Habitat for Humanity’s vision of a world where everyone has a decent place to live. This year, Nissan’s contribution of vehicles and grant money will help offset the current housing crisis compounded by COVID-19.",2020-09-28 20:53:16,1310684021215682564,4,24
12,From @CBSNews: Jimmy Carter and a lifetime's response to race https://t.co/anoBp9vZy0,2020-09-28 13:14:00,1310568441233850371,11,24
13,"What do Christmas trees, solar panels and chicken barns have in common? They are all included in our list of 9 interesting facts about Habitat for Humanity. #HabitatFacts",2020-09-27 16:10:00,1310250345407434756,8,22
14,"From @business: Economist Raj Chetty’s data tool has revealed that the recession driven by the pandemic “has essentially ended for high-income individuals,” while the bottom half of American workers represent almost 80% of the jobs still missing. https://t.co/ZNvT9GDM0V",2020-09-26 15:40:01,1309880411959549952,5,6
15,@pappybryant Thank you for bringing this to our attention. We take your concern seriously and encourage individuals to pursue established processes for communicating and escalating concerns related to Habitat organizations. Please call (877) 434-4435 or email ussupportcenter@habitat.org.,2020-09-25 19:21:09,1309573676451483648,0,0
16,"On Sept. 30, as part of our +You thought leadership series, we will host a live panel discussion about the unique challenges that seniors are facing during the pandemic and how they are being addressed. Full details.",2020-09-25 15:08:43,1309510146108936192,11,21
17,RT @JReckford: Joining more than 35 of my colleagues from across the nonprofit sector to call on leaders in Congress to come back to the ne…,2020-09-24 20:14:01,1309224590556762112,6,0
18,"A leader at @habitatbn, Lynda Henriksen draws on her own past experiences to help local families find their footing. In this essay, she shares her personal story and asks for reflection and action during the COVID-19 pandemic.",2020-09-24 16:22:00,1309166201520697344,2,15
19,"In many locations around the world where #HabitatforHumanity builds, concrete or fired clay bricks replace mud and thatch walls. In some locations, Habitat also offers training in masonry and other construction skills, building local capacity. https://t.co/sY9Z7R910y",2020-09-23 15:14:02,1308786712324247555,9,33
20,"@joe_lyou Joe, please contact our support center so that we can get more details to help with this request: 800-HABITAT or publicinfo@habitat.org.",2020-09-22 15:22:51,1308426542691872769,0,0
21,Let’s make housing affordability a priority in this year’s elections! Sign the #CostofHome pledge to vote and share our graphics on social media to encourage others to join you. #NationalVoterRegistrationDay,2020-09-22 14:40:00,1308415756703473664,16,25
22,@sexy1mma Please contact our support center so that we can get more details and help with this request: 800-HABITAT or publicinfo@habitat.org.,2020-09-21 19:44:36,1308130026617999362,0,0
23,"#HabitatforHumanity connects people. We believe in helping our neighbors, and we have always been there to build alongside families as they fight back from adversity. https://t.co/sFs7pNWJAM",2020-09-21 15:38:00,1308067965053534208,16,25
24,"#HabitatforHumanity is at work in all 50 U.S. states, the District of Columbia and Puerto Rico, as well as in more than 70 countries around the world. This Habitat home was built in Arizona. https://t.co/k8FE9V4jwQ",2020-09-18 16:14:02,1306989871404388358,8,28
25,"From @NextBillion: As a huge percentage of homebuilders around the world build incrementally, Habitat’s @TerwilligerCtr for Innovation in Shelter explores how to help improve and optimize their processes.",2020-09-18 13:40:00,1306951105620844544,6,12
26,"#TBT to one of our favorite stories from 2018: Generous quiltmakers donate their handmade gifts so that #HabitatforHumanity homeowners know they are seen, sustained and wrapped in love. https://t.co/yB4SNdmlIs",2020-09-17 15:40:00,1306618916903346176,2,31
27,"@PetroHome Two of our favorite reads:
Our Better Angels, written by our CEO @JReckford (https://t.co/dQTfedTfqe) and A Carpenter's Gift (https://t.co/hqy7UF70KK). https://t.co/b3H4BjNRtL",2020-09-16 18:34:26,1306300425742757889,1,3
28,"@jekyllnhyde1107 Thank you for your message, Julie. Please visit our website to learn how to apply for Habitat's homeownership program: https://t.co/pynrF2l8NC",2020-09-16 18:22:56,1306297535548588032,0,0
29,"Recently, @HabitatDenver and other members of the Neighborhood Development Collaborative helped procure funding for rental relief and mortgage assistance, helping residents remain in their shelter during the COVID-19 pandemic. Learn more about Habitat’s advocacy successes.",2020-09-16 16:31:34,1306269506323599362,6,22
30,"As COVID-19 grew into a pandemic, community members like Morrix stepped up to ensure neighborhood water kiosks installed by @habitatzambia continued to be a safe and sanitary resource. Full story.
https://t.co/MVX2qGTA5G",2020-09-15 14:32:44,1305877213317922816,5,18
31,What does building a better world sound like? Enjoy this short video of the sights and sounds of #HabitatforHumanity construction. https://t.co/EeePBEzXFK,2020-09-14 15:58:41,1305536454798594048,19,35
32,"RT @HabitatPhilly: This week, we will welcome our 225th and 226th Habitat homeowners to their homes at Oxford Green! Congratulations to Mal…",2020-09-13 22:20:57,1305270269922226177,3,0
33,"No matter who we are or where we come from, we all deserve to have a decent life. Every single one of us deserves the opportinity for a better future, and decent shelter is something we all need to thrive. 🏠 #HabitatforHumanity https://t.co/l6ZQM1nVsh",2020-09-13 15:14:02,1305162831713759232,24,52
34,"#HabitatforHumanity makes sustainable building a priority around the world. From reducing utility bills through energy-efficient homes to cutting waste with conscientious building practices, we’re finding ways to make Habitat homes better for homeowners and the environment.",2020-09-12 16:20:00,1304817043989037057,13,16
35,"RT @CostOfHome: With millions of individuals and families facing housing instability due to the impacts of the #COVID19 pandemic, state and…",2020-09-11 18:40:00,1304489890327990275,6,0
36,We are profoundly grateful for everyone who serves in their community. #911Day,2020-09-11 14:14:00,1304422947122114562,14,43
37,RT @TerwilligerCtr: How can scholars connect #finance to its role in achieving #social and #environmental goals? @SSIReview holds up the #n…,2020-09-10 19:27:00,1304139328956895233,1,0
38,"#TBT: Fifteen years ago this fall, New York City’s Rockefeller Plaza became “Humanity Plaza” as volunteers worked around the clock for five days to frame 45 houses that Hurricane Katrina survivors would ultimately build along the Gulf Coast. 🏠 🍎 - with @rockcenternyc https://t.co/bPkqueU1LJ",2020-09-10 15:03:27,1304073003127500800,6,33
39,"RT @CharityNav: How a safe, decent, and healthy home plays a role in student success. https://t.co/sXegycQFuq https://t.co/CmM7KzA85P",2020-09-09 22:51:00,1303828280332759040,5,0
40,"@LedoraGasper Hi, please visit our website to learn how to apply for Habitat's homeownership program: https://t.co/pynrF2l8NC",2020-09-09 19:35:04,1303778970245136385,0,1
41,"Safe, affordable housing is out of reach for far too many people around the world. When a family can create a decent place to live that’s affordable, everything can change. These facts and figures make the case for why we build.",2020-09-09 16:15:16,1303728690145132546,15,33
42,RT @JReckford: Something I heard President Carter say on that trip is that he appreciates how a Habitat build site provides the opportunity…,2020-09-09 13:24:43,1303685771363258368,4,0
43,"“This is my house!” 
Meet Daniel as he talks about living in the home his family built with @habitatpdxmetro. https://t.co/sHG4TlmTiI",2020-09-08 15:52:24,1303360549296713731,10,28
44,"Everyone deserves to build the foundation for a strong, healthy future for themselves and their families — no matter where they live or how much money they earn. Every family deserves the chance to thrive. Help us make the #CostOfHome something we all can afford.",2020-09-07 15:14:00,1302988495032446976,12,35
45,"Congratulations to @deshaunwatson, who grew up in a #HabitatforHumanity home! 🏈 🏡 https://t.co/7Iwj2GmkkN",2020-09-06 16:14:01,1302641210042003457,7,34
46,"This week marks Jonathan Reckford’s 15th year as the CEO of Habitat for Humanity. Follow @JReckford as he reflects on fond memories and formidable challenges he has encountered, and read his essay in @NonProfitTimes. https://t.co/qaZzDeuRy9",2020-09-06 14:40:01,1302617554175897600,10,30
47,You have helped Habitat open doors for more than 40 years. We thank you so much for your unwavering support of our vision where everyone has a decent place to live! https://t.co/XmJ5MKA4mH,2020-09-05 17:40:07,1302300489829277702,16,52
48,"As part of a coalition of other national nonprofit organizations, Habitat for Humanity International co-signed a statement of guiding principles to advance racial equity and justice. Full statement and list of supporting organizations: https://t.co/TSzF5S6uMp",2020-09-05 14:00:07,1302245128959123456,10,22
49,September is #NationalPreparednessMonth. Did you know that Habitat for Humanity’s disaster risk and response program provides an extensive collection of materials to help you prepare your home and your family for a variety of disasters? Check it out.,2020-09-04 16:24:20,1301919030832517121,13,20
50,"RT @JReckford: This week I am celebrating 15 years with @Habitat_org. As I reflect back on the years of service, I am reminded of many wond…",2020-09-04 14:54:09,1301896336778899456,5,0
51,"#TBT: At the 2016 Jimmy &amp; Rosalynn Carter Work Project in Memphis, Tennessee, future homeowner Timeka received a surprise “Good morning!” from @garthbrooks. https://t.co/8DVcZclJKy",2020-09-03 15:40:00,1301545486806061062,19,56
52,RT @iSmashFizzle: This should make you feel sick to your stomach. Feel that. Process that. Then we all have to help fix it. https://t.co/gb…,2020-09-03 13:35:48,1301514232119332865,362,0
53,RT @JReckford: We’re grateful that the @WhiteHouse and @CDCgov are taking urgent action to protect renters from eviction. Now we need Congr…,2020-09-03 00:35:07,1301317765161254914,13,0
54,Calling all housing experts! Do you have a solution to bring improved and cost-effective products and services to low-income communities? We are hosting #ShelterTech accelerators in Southeast Asia and the Andean region this fall. Visit https://t.co/TSdH9tz4yj to learn more.,2020-09-02 12:42:09,1301138341820280832,8,20
55,"In response to the need for innovative solutions to the city’s growing housing crisis, @HabitatDC has expanded the reach of its work through partnerships and advocacy. Learn more. – with @dcdhcd, @cnhed",2020-09-01 15:20:42,1300815854804840449,5,15
56,"From Matthew Desmond (@just_shelter) in @nytopinion: During a pandemic that forcefully links our health to our homes, medical professionals have warned that the eviction crisis will exacerbate the spread of the coronavirus. https://t.co/XsgnRbZUXE",2020-08-31 15:16:03,1300452295923073025,12,18
57,"“It’s so important when you receive the keys that you understand that you deserve it and that you are worthy and your kids are worthy.” – World Cup champion @ADizzle23, who grew up in a Habitat home. https://t.co/lkpX992woi",2020-08-30 14:40:00,1300080835895451649,5,26
58,Act now. Join us in calling on members of Congress to prioritize the needs of low-income families and the organizations that work hard to serve them. Learn more.,2020-08-29 15:40:00,1299733547473924099,9,22
59,"@HomeDepotFound Congratulations, Lisa! And thank you to @HomeDepotFound for their continued support of our vision of a world where everyone has a decent place to live.",2020-08-28 19:40:01,1299431561612398593,0,7
60,"From @wdsu: Hoping to help people avoid having workers in and out of their homes during the pandemic, @HabitatNOLA has released a DIY series of online videos for everyday fixes.",2020-08-28 17:17:25,1299395676439285760,8,25
61,"RT @CostOfHome: Redlining ""reinforced racial segregation in cities and diverted investment away from minority neighborhoods in ways that cr…",2020-08-28 14:35:40,1299354970240811008,8,0
62,These seven findings illustrate the impact that the COVID-19 pandemic continues to have on economic stability and housing affordability in the United States. https://t.co/j63SgHBsix,2020-08-27 14:29:59,1298991151173660672,21,27
63,"#HabitatforHumanity is at work in all 50 U.S. states, the District of Columbia and Puerto Rico, as well as in more than 70 countries around the world. This Habitat home was built in Atlanta, Georgia. https://t.co/eP4yUfrDbI",2020-08-26 15:14:02,1298639850044829698,10,33
64,"From @HousingWire: Broad coalition of housing organizations, including Habitat for Humanity International, urge Congress to start protecting renters and property owners https://t.co/PBFmns4Gu4",2020-08-25 16:11:01,1298291802991140865,11,14
65,"RT @CostOfHome: A safe home. Nutritious food. Health care. Which would you choose? Even before #COVID19, more than 18 million families were…",2020-08-24 20:02:39,1297987707923320832,15,0
66,"@karmablue77 Cyndi, please contact our support center so that we can help answer your questions at 800-HABITAT or publicinfo@habitat.org.",2020-08-24 18:57:58,1297971431192645633,0,0
67,"RT @HabitatPhilly: (1/2) Addressing the need for home repairs during COVID, we introduce the Habitat Philly Guesthouse. Renovated for famil…",2020-08-24 13:51:00,1297894178597281792,2,0
68,We love celebrating the meaningful moments that occur on #HabitatforHumanity build sites and throughout the neighborhoods where we work. A helping hand. A friendly neighbor. A note of encouragement. This is why we build. 🏠❤️ https://t.co/MUVe0czjIh,2020-08-23 18:14:02,1297597983647768576,19,46
69,"“We need to embrace the idea of housing as a human right.” – Julián Castro, former U.S. Secretary of Housing and Urban Development. View the full replay of a discussion on housing affordability and the pandemic in our +You thought leadership series: https://t.co/lBfgwzFoop https://t.co/uq4PUlq9td",2020-08-23 13:30:19,1297526587315953664,10,17
70,"RT @GlobeOpinion: In @GlobeIdeas, @noahkimofficial breaks down the contradiction between supporting social justice movements and opposing a…",2020-08-21 18:50:01,1296882264178069508,11,0
71,"From @shelterforce: “Housing with lasting affordability should be an indispensable feature of any local COVID recovery plan, especially for municipalities that strive for racial equity and resilience.” Full story. https://t.co/X3i6RWRwcr",2020-08-21 15:14:00,1296827903032909824,7,13
72,"RT @JReckford: .@DerrickNAACP and Richard Dubois of @NCLC4consumers with an important warning: Communities of color, already hit hard by CO…",2020-08-21 13:48:55,1296806492398657536,3,0
73,"#TBT: In August 2018, over 200 members of the @NBA family helped build homes with @HFHSouthAfrica, including current All-NBA center @JoelEmbiid and the league's all-time leading scorer @kaj33. https://t.co/y4W15b0i3p",2020-08-20 15:31:24,1296469892842033152,3,9
74,RT @wef: 5 things COVID-19 has taught us about #inequality https://t.co/TQDAoqKkyh #coronavirus #COVID19 https://t.co/yjd0npiBK8,2020-08-20 12:56:10,1296430828432621568,50,0
75,#DidYouKnow that the organizational meeting that led to the formation of Habitat for Humanity took place in 1976 inside a converted chicken barn in South Georgia on @KoinoniaFarm? Learn more about this and other interesting facts about Habitat. https://t.co/wbalYQGDKd,2020-08-19 15:14:00,1296103125707677697,6,13
76,"From @BerkshireEagle: ""It's a time when shelter in place took on a magnified meaning."" @HabitatBRK celebrates two new energy-efficient Habitat houses with the homeowners who helped build them and will call them home.",2020-08-18 18:40:00,1295792579330506755,5,23
77,"""Do what you can to show you care about other people, and you will make our world a better place.” Happy birthday, Mrs. Carter! Since 1984, the former first lady has worked alongside President Carter to help more families build with Habitat. #MrsCarterBirthday https://t.co/87PpWOZhCT",2020-08-18 14:14:36,1295725788386517002,42,104
78,@DolanJoan Thank you for your message. Habitat's home repair program is managed at the local level. Please contact the nearest local Habitat for Humanity to learn about services that are available in your area. https://t.co/Gp572TViwD,2020-08-17 14:56:50,1295374030858584064,0,0
79,"Since our founding in 1976, #HabitatforHumanity has helped more than 29 million people build or improve the place they call home. Thank you to all who share our vision of a world where everyone has a decent place to live. #NationalNonprofitDay https://t.co/yaOUzQ8rPw",2020-08-17 14:35:28,1295368654410993665,45,104
80,"Neighbors need each other now more than ever. With your support, #HabitatforHumanity partners with families to help build security and stability, reconnect communities, and create hope. Join us and learn more. https://t.co/uQUUeiF3Np https://t.co/f5K3D0iqCu",2020-08-16 16:35:00,1295036346420072449,13,18
81,What are the qualifications for #HabitatforHumanity homeownership?  https://t.co/v3RwiL52zR #infographic,2020-08-15 15:14:00,1294653574132019202,15,28
82,"@kristie1025 Hi Kristie, please contact our support center so that they can help with this request and answer any questions: 800-HABITAT or publicinfo@habitat.org.",2020-08-14 15:40:38,1294297891641729024,0,0
83,"Thank you to @Travelers for renewing their partnership with Habitat! Since 2002, Travelers has provided $5.6 million in support of our work, and employees have given over 5,000 volunteer hours to projects ranging from community builds to disaster recovery. Learn more.",2020-08-14 14:49:00,1294284894843973634,5,22
84,RT @CostOfHome: The Federal Housing Finance Agency just made it more expensive for homeowners to refinance. When many in the U.S. are strug…,2020-08-13 19:14:15,1293989258533974016,11,0
85,RT @JReckford: Left 🤚ers get things done! Happy #LeftHandersDay to all of us who are celebrating! https://t.co/y4NE0mYp5B,2020-08-13 17:24:50,1293961723418902529,3,0
86,We need you to act now and add your voice for housing stability. Join us in calling on members of Congress to prioritize the needs of low-income families and the organizations that work hard to serve them. https://t.co/g8ai41GJlv  https://t.co/g8ai41GJlv,2020-08-13 14:25:35,1293916615646617600,11,8
87,"“I was recruited by every school in the @SEC. Nick Saban sat in our Habitat home. @MarkRicht came and ate dinner at our Habitat home. That house played a tremendous role in where I built confidence, where I established my goals and dreams.” – Super Bowl LI champion @MalcolmJarod https://t.co/J5fryTATvJ",2020-08-12 17:37:52,1293602615280926723,20,37
88,From @CityLab: An expansive survey by the @uscensusbureau reveals that 34% of renters in the U.S. said during the waning days of July that they had little to no confidence that they could make their August rent payments. https://t.co/cQAb8ZuTE4,2020-08-12 14:01:53,1293548261526077440,3,5
89,"“I cried, it was very emotional. It’s indescribable, knowing that it’s yours.” On Saturday, Tina cut the ribbon to celebrate moving into her new @HabitatWestBay home with the mayor of Woonsockey, Rhode Island, on hand. Full story from @WoonsocketCall.",2020-08-11 15:24:25,1293206643233226752,8,30
90,"“We all have gifts and talents — and when you’re able to use those to help someone else, you end up leaving as the one who is changed.” — Dr. Sarah Theart, medical volunteer at #HabitatforHumanity’s 2019 Jimmy &amp; Rosalynn Carter Work Project 👷‍♀️ #MondayMotivation https://t.co/qN85mzjfcy",2020-08-10 17:14:02,1292871844723384330,12,21
91,"RT @CostOfHome: As #Congress has yet to reach a deal for additional #COVID19 relief, now is a critical time to urge your members to priorit…",2020-08-10 14:49:59,1292835592934391809,6,0
